employee_id,first_name,last_name,department,pay_rate,hire_date,status,email
EMP00001,Jennifer,Johnson,Infrastructure,36.79,2022-03-04,Active,emp00001@mta-corp.org
EMP00002,Stephanie,Miller,Scheduling,67.75,2016-07-25,Inactive,emp00002@mta-corp.org
EMP00003,Carol,Ramirez,Operations,20.48,2015-12-23,Active,emp00003@mta-corp.org
EMP00004,Steven,Hill,Operations,55.82,2017-08-10,On Leave,emp00004@mta-corp.org
EMP00005,Jason,Wright,IT,33.16,2022-04-15,Inactive,emp00005@mta-corp.org
EMP00006,James,Carter,Procurement,29.12,2018-02-13,Active,emp00006@mta-corp.org
EMP00007,Karen,Martinez,Bus,82.15,2018-10-25,Active,emp00007@mta-corp.org
EMP00008,Patricia,Harris,Maintenance,42.37,2016-02-23,Active,emp00008@mta-corp.org
EMP00009,Charles,Williams,Infrastructure,49.05,2021-10-08,Active,emp00009@mta-corp.org
EMP00010,Patricia,Scott,Finance,73.66,2019-03-31,Inactive,emp00010@mta-corp.org
EMP00011,Betty,Torres,Bus,65.35,2024-12-05,Active,emp00011@mta-corp.org
EMP00012,Thomas,Roberts,Finance,84.02,2022-06-01,Active,emp00012@mta-corp.org
EMP00013,Michael,Harris,Finance,48.65,2024-09-19,Active,emp00013@mta-corp.org
EMP00014,Betty,Thompson,Bus,63.07,2016-10-28,On Leave,emp00014@mta-corp.org
EMP00015,Helen,Jones,Customer Service,60.73,2022-08-31,Inactive,emp00015@mta-corp.org
EMP00016,Sarah,Hernandez,Safety,43.73,2023-03-06,On Leave,emp00016@mta-corp.org
EMP00017,Michelle,Anderson,Scheduling,40.06,2022-09-19,Active,emp00017@mta-corp.org
EMP00018,David,Lee,IT,36.3,2017-07-27,Active,emp00018@mta-corp.org
EMP00019,Deborah,Lee,Bus,62.09,2021-05-12,Active,emp00019@mta-corp.org
EMP00020,Helen,Robinson,Rail,36.11,2024-12-02,Active,emp00020@mta-corp.org
EMP00021,Michelle,Wright,Finance,68.18,2023-05-10,Active,emp00021@mta-corp.org
EMP00022,Dorothy,White,Bus,84.82,2021-07-18,Active,emp00022@mta-corp.org
EMP00023,Emily,Garcia,Procurement,21.63,2020-09-18,Active,emp00023@mta-corp.org
EMP00024,Anthony,Hernandez,Procurement,63.75,2016-09-18,Inactive,emp00024@mta-corp.org
EMP00025,Mark,Harris,Customer Service,84.74,2015-09-18,Inactive,emp00025@mta-corp.org
EMP00026,Michelle,Smith,Scheduling,66.43,2017-10-26,On Leave,emp00026@mta-corp.org
EMP00027,Edward,Carter,Finance,69.61,2024-12-03,Active,emp00027@mta-corp.org
EMP00028,Christopher,Ramirez,Rail,48.67,2016-04-01,On Leave,emp00028@mta-corp.org
EMP00029,Matthew,Taylor,Engineering,69.17,2024-10-27,Inactive,emp00029@mta-corp.org
EMP00030,Anthony,Martin,Legal,60.99,2016-03-11,Inactive,emp00030@mta-corp.org
EMP00031,Barbara,White,Procurement,29.24,2017-03-25,Inactive,emp00031@mta-corp.org
EMP00032,Ronald,Lee,Safety,19.8,2015-01-03,Active,emp00032@mta-corp.org
EMP00033,Nancy,Thomas,Operations,34.52,2024-11-08,Inactive,emp00033@mta-corp.org
EMP00034,Patricia,Campbell,Safety,72.77,2015-11-19,Inactive,emp00034@mta-corp.org
EMP00035,William,Rodriguez,Scheduling,50.11,2023-08-03,Inactive,emp00035@mta-corp.org
EMP00036,Charles,King,Legal,58.84,2016-11-07,Active,emp00036@mta-corp.org
EMP00037,Gary,Campbell,Infrastructure,31.88,2021-01-17,Active,emp00037@mta-corp.org
EMP00038,Kevin,Adams,HR,47.63,2019-06-23,Inactive,emp00038@mta-corp.org
EMP00039,Jennifer,Thomas,Bus,22.76,2020-01-24,Active,emp00039@mta-corp.org
EMP00040,Michelle,Anderson,Customer Service,33.14,2021-08-06,Active,emp00040@mta-corp.org
EMP00041,Anthony,Brown,Bus,22.98,2022-12-09,Active,emp00041@mta-corp.org
EMP00042,Lisa,Jones,Engineering,34.33,2024-08-22,On Leave,emp00042@mta-corp.org
EMP00043,Jessica,Wright,Rail,66.6,2020-06-11,Inactive,emp00043@mta-corp.org
EMP00044,Kenneth,Thomas,Procurement,49.95,2021-06-18,Active,emp00044@mta-corp.org
EMP00045,Michael,Miller,Scheduling,47.16,2017-02-18,Active,emp00045@mta-corp.org
EMP00046,Ashley,Campbell,Operations,63.28,2019-08-11,On Leave,emp00046@mta-corp.org
EMP00047,Linda,Sanchez,Infrastructure,41.06,2016-02-08,Active,emp00047@mta-corp.org
EMP00048,Joseph,Gonzalez,Engineering,48.33,2017-10-15,Active,emp00048@mta-corp.org
EMP00049,Karen,Robinson,Bus,76.65,2017-01-21,Active,emp00049@mta-corp.org
EMP00050,Michelle,Miller,Operations,61.87,2019-12-21,Inactive,emp00050@mta-corp.org
EMP00051,James,Garcia,Procurement,74.94,2024-05-17,Active,emp00051@mta-corp.org
EMP00052,Emily,Walker,Bus,76.0,2019-07-23,Active,emp00052@mta-corp.org
EMP00053,Mark,Smith,IT,36.14,2016-11-05,Active,emp00053@mta-corp.org
EMP00054,Sandra,Hall,Infrastructure,84.7,2018-03-14,Inactive,emp00054@mta-corp.org
EMP00055,Deborah,Young,Rail,31.13,2022-06-04,Active,emp00055@mta-corp.org
EMP00056,Carol,Mitchell,Engineering,22.55,2015-08-28,Active,emp00056@mta-corp.org
EMP00057,Linda,Nguyen,Safety,51.94,2015-08-23,Inactive,emp00057@mta-corp.org
EMP00058,Linda,Allen,Maintenance,75.11,2016-10-06,Active,emp00058@mta-corp.org
EMP00059,Robert,Baker,Legal,34.14,2021-09-03,Active,emp00059@mta-corp.org
EMP00060,Brian,Thomas,Customer Service,58.04,2024-12-25,Inactive,emp00060@mta-corp.org
EMP00061,Donald,Nelson,Customer Service,56.09,2015-12-02,Active,emp00061@mta-corp.org
EMP00062,Jessica,Nelson,Infrastructure,39.39,2017-12-04,Active,emp00062@mta-corp.org
EMP00063,William,Nelson,Scheduling,38.45,2019-06-10,Active,emp00063@mta-corp.org
EMP00064,Robert,Smith,Safety,59.81,2023-06-07,Inactive,emp00064@mta-corp.org
EMP00065,Robert,Wright,Bus,52.14,2016-02-14,Active,emp00065@mta-corp.org
EMP00066,Robert,Thomas,HR,37.45,2018-11-30,Active,emp00066@mta-corp.org
EMP00067,Edward,Rivera,Finance,59.18,2024-05-08,On Leave,emp00067@mta-corp.org
EMP00068,James,Nelson,Legal,55.38,2020-12-06,On Leave,emp00068@mta-corp.org
EMP00069,William,Taylor,Maintenance,77.67,2016-02-29,On Leave,emp00069@mta-corp.org
EMP00070,Barbara,Moore,Finance,58.72,2021-03-16,On Leave,emp00070@mta-corp.org
EMP00071,Jessica,Baker,Scheduling,75.22,2018-11-05,Inactive,emp00071@mta-corp.org
EMP00072,Charles,Brown,Maintenance,60.68,2020-06-24,Active,emp00072@mta-corp.org
EMP00073,James,Perez,Procurement,27.2,2015-06-30,Active,emp00073@mta-corp.org
EMP00074,Stephanie,Lewis,Engineering,65.43,2016-10-23,Inactive,emp00074@mta-corp.org
EMP00075,Jennifer,Jones,Infrastructure,78.61,2015-02-09,Inactive,emp00075@mta-corp.org
EMP00076,Betty,Nguyen,Engineering,28.35,2015-05-28,Active,emp00076@mta-corp.org
EMP00077,Nancy,White,Procurement,83.15,2015-06-21,Active,emp00077@mta-corp.org
EMP00078,Jessica,Baker,Bus,62.85,2019-01-05,Active,emp00078@mta-corp.org
EMP00079,Michelle,Clark,Customer Service,68.34,2023-10-01,Active,emp00079@mta-corp.org
EMP00080,Richard,Lopez,IT,20.15,2024-09-11,On Leave,emp00080@mta-corp.org
EMP00081,Donald,Nelson,Legal,67.38,2018-09-22,Active,emp00081@mta-corp.org
EMP00082,Richard,Hall,Maintenance,43.94,2017-12-28,Active,emp00082@mta-corp.org
EMP00083,Kenneth,Anderson,Bus,72.8,2024-08-17,Active,emp00083@mta-corp.org
EMP00084,Nancy,Anderson,Bus,20.07,2018-12-03,Active,emp00084@mta-corp.org
EMP00085,Lisa,Moore,Legal,23.12,2019-06-21,Active,emp00085@mta-corp.org
EMP00086,Helen,Allen,IT,63.69,2018-12-09,Inactive,emp00086@mta-corp.org
EMP00087,Maria,Davis,Finance,30.37,2018-09-18,Active,emp00087@mta-corp.org
EMP00088,Michael,Hill,IT,41.49,2015-06-06,Active,emp00088@mta-corp.org
EMP00089,Ronald,Allen,Maintenance,44.12,2019-11-23,Inactive,emp00089@mta-corp.org
